TYPE,VALUE,OPTION_A,OPTION_B,OPTION_C,OPTION_D,OPTION_E,OPTION_F,CORRECT_ANSWER,CORRECT_BLANK_1,CORRECT_BLANK_2,CORRECT_BLANK_3
PASSAGE,"Sleep is an essential biological function that occupies nearly a third of our lives, yet it remains one of the least understood processes in human physiology. During sleep, the body undergoes crucial restorative processes, from muscle repair to memory consolidation. Without sufficient sleep, humans experience a decline in cognitive performance, weakened immune response, and increased risk of chronic diseases. 

Sleep is divided into two broad categories: rapid eye movement (REM) and non-REM sleep. Non-REM sleep is further divided into three stages, ranging from light to deep sleep. Deep sleep is especially important for physical recovery, while REM sleep plays a critical role in emotional regulation and learning. Dreams typically occur during REM sleep. 

Modern lifestyles, however, are interfering with healthy sleep patterns. Exposure to artificial light, especially blue light from screens, disrupts the body’s natural circadian rhythms. Stress, long working hours, and excessive caffeine consumption also contribute to widespread sleep deprivation. According to the World Health Organization, nearly 40% of adults in developed countries fail to get the recommended 7–8 hours of sleep per night. 
PASSAGE,"Mars has long fascinated humans, earning the nickname the ‘Red Planet’ due to its distinctive appearance. Telescopes revealed its surface features centuries ago, sparking speculation about canals and possible life. Modern space exploration, however, has provided concrete knowledge of the planet. 

The first successful flybys of Mars were conducted in the 1960s by NASA’s Mariner missions. These revealed a dry, barren world with massive volcanoes, deep canyons, and polar ice caps. Later, landers such as Viking 1 and 2 in the 1970s conducted experiments to search for microbial life, though results were inconclusive. 

In recent decades, rovers such as Spirit, Opportunity, Curiosity, and Perseverance have traversed the Martian surface, analyzing rocks and soil. Evidence suggests that Mars once had liquid water, raising the possibility that microbial life may have existed in the past. Current missions focus on preparing for potential human exploration. 

Despite advances, challenges remain. Mars has a thin atmosphere, intense radiation, and extreme temperatures. Human missions would require advanced life-support systems and sustainable habitats. Nonetheless, Mars continues to be a prime candidate for future exploration and perhaps colonization.",,,,,,,

QUESTION,"Why is Mars called the ‘Red Planet’?","Because of volcanic eruptions","Due to its appearance","Because of its distance from the Sun","Due to its thin atmosphere",,,B,,
QUESTION,"Which missions first flew by Mars?","Viking","Perseverance","Mariner","Spirit",,,C,,
QUESTION,"What feature was NOT discovered by early Mars missions?","Volcanoes","Oceans","Ice caps","Canyons",,,B,,
QUESTION,"Which rover is currently active on Mars?","Spirit","Curiosity","Viking 1","Mariner 4",,,B,,
QUESTION,"What environmental challenge makes Mars difficult for humans?","Strong winds","Abundant rainfall","Thin atmosphere","Constant earthquakes",,,C,,
FILL_BLANK_QUESTION,"The first Mars flybys were conducted by the [BLANK] missions.",,,,,,,,Mariner,,
FILL_BLANK_QUESTION,"The Viking landers searched for [BLANK].",,,,,,,,Microbial life,,
FILL_BLANK_QUESTION,"Evidence suggests Mars once had [BLANK].",,,,,,,,Liquid water,,
FILL_BLANK_QUESTION,"Future missions may prepare for human [BLANK].",,,,,,,,Exploration,,
FILL_BLANK_QUESTION,"The Martian surface has been explored by robotic [BLANK].",,,,,,,,Rovers,,
QUESTION,"Mars is sometimes called the Red Planet.","Paragraph 1","Paragraph 2","Paragraph 3","Paragraph 4",,,A,,
QUESTION,"The Viking missions carried out experiments to detect life.","Paragraph 1","Paragraph 2","Paragraph 3","Paragraph 4",,,B,,
QUESTION,"Rovers have found evidence of past water on Mars.","Paragraph 1","Paragraph 2","Paragraph 3","Paragraph 4",,,C,,
QUESTION,"Human exploration would need advanced technology.","Paragraph 1","Paragraph 2","Paragraph 3","Paragraph 4",,,D,,
